video_path,start_frame,end_frame,fps,center_time,gt_time,target_score
sotad_extracted/test/1.mp4,0,50,25.000000,1.000000,1.440000,0.976090
sotad_extracted/test/1.mp4,6,56,25.000000,1.240000,1.440000,0.995012
sotad_extracted/test/1.mp4,12,62,25.000000,1.480000,1.440000,0.999800
sotad_extracted/test/1.mp4,18,68,25.000000,1.720000,1.440000,0.990248
sotad_extracted/test/1.mp4,24,74,25.000000,1.960000,1.440000,0.966765
sotad_extracted/test/1.mp4,30,80,25.000000,2.200000,1.440000,0.930345
sotad_extracted/test/1.mp4,36,86,25.000000,2.440000,1.440000,0.882497
sotad_extracted/test/1.mp4,42,92,25.000000,2.680000,1.440000,0.825142
sotad_extracted/test/1.mp4,48,98,25.000000,2.920000,1.440000,0.760484
sotad_extracted/test/1.mp4,54,104,25.000000,3.160000,1.440000,0.690872
sotad_extracted/test/1.mp4,60,110,25.000000,3.400000,1.440000,0.618660
sotad_extracted/test/1.mp4,66,116,25.000000,3.640000,1.440000,0.546074
sotad_extracted/test/1.mp4,72,122,25.000000,3.880000,1.440000,0.475114
sotad_extracted/test/1.mp4,78,128,25.000000,4.120000,1.440000,0.407465
sotad_extracted/test/3.mp4,0,50,25.000000,1.000000,2.080000,0.864331
sotad_extracted/test/3.mp4,6,56,25.000000,1.240000,2.080000,0.915578
sotad_extracted/test/3.mp4,12,62,25.000000,1.480000,2.080000,0.955997
sotad_extracted/test/3.mp4,18,68,25.000000,1.720000,2.080000,0.983931
sotad_extracted/test/3.mp4,24,74,25.000000,1.960000,2.080000,0.998202
sotad_extracted/test/3.mp4,30,80,25.000000,2.200000,2.080000,0.998202
sotad_extracted/test/3.mp4,36,86,25.000000,2.440000,2.080000,0.983931
sotad_extracted/test/3.mp4,42,92,25.000000,2.680000,2.080000,0.955997
sotad_extracted/test/3.mp4,48,98,25.000000,2.920000,2.080000,0.915578
sotad_extracted/test/3.mp4,54,104,25.000000,3.160000,2.080000,0.864331
sotad_extracted/test/3.mp4,60,110,25.000000,3.400000,2.080000,0.804286
sotad_extracted/test/3.mp4,66,116,25.000000,3.640000,2.080000,0.737713
sotad_extracted/test/3.mp4,72,122,25.000000,3.880000,2.080000,0.666977
sotad_extracted/test/3.mp4,78,128,25.000000,4.120000,2.080000,0.594402
sotad_extracted/test/3.mp4,84,134,25.000000,4.360000,2.080000,0.522150
sotad_extracted/test/3.mp4,90,140,25.000000,4.600000,2.080000,0.452123
sotad_extracted/test/3.mp4,96,146,25.000000,4.840000,2.080000,0.385891
sotad_extracted/test/3.mp4,102,152,25.000000,5.080000,2.080000,0.324652
sotad_extracted/test/3.mp4,108,158,25.000000,5.320000,2.080000,0.269227
sotad_extracted/test/3.mp4,114,164,25.000000,5.560000,2.080000,0.220072
sotad_extracted/test/3.mp4,120,170,25.000000,5.800000,2.080000,0.177320
sotad_extracted/test/3.mp4,126,176,25.000000,6.040000,2.080000,0.140830
sotad_extracted/test/3.mp4,132,182,25.000000,6.280000,2.080000,0.110251
sotad_extracted/test/4.mp4,0,50,25.000000,1.000000,3.280000,0.522150
sotad_extracted/test/4.mp4,6,56,25.000000,1.240000,3.280000,0.594402
sotad_extracted/test/4.mp4,12,62,25.000000,1.480000,3.280000,0.666977
sotad_extracted/test/4.mp4,18,68,25.000000,1.720000,3.280000,0.737713
sotad_extracted/test/4.mp4,24,74,25.000000,1.960000,3.280000,0.804286
sotad_extracted/test/4.mp4,30,80,25.000000,2.200000,3.280000,0.864331
sotad_extracted/test/4.mp4,36,86,25.000000,2.440000,3.280000,0.915578
sotad_extracted/test/4.mp4,42,92,25.000000,2.680000,3.280000,0.955997
sotad_extracted/test/4.mp4,48,98,25.000000,2.920000,3.280000,0.983931
sotad_extracted/test/4.mp4,54,104,25.000000,3.160000,3.280000,0.998202
sotad_extracted/test/4.mp4,60,110,25.000000,3.400000,3.280000,0.998202
sotad_extracted/test/4.mp4,66,116,25.000000,3.640000,3.280000,0.983931
sotad_extracted/test/4.mp4,72,122,25.000000,3.880000,3.280000,0.955997
sotad_extracted/test/4.mp4,78,128,25.000000,4.120000,3.280000,0.915578
sotad_extracted/test/4.mp4,84,134,25.000000,4.360000,3.280000,0.864331
sotad_extracted/test/4.mp4,90,140,25.000000,4.600000,3.280000,0.804286
sotad_extracted/test/4.mp4,96,146,25.000000,4.840000,3.280000,0.737713
sotad_extracted/test/4.mp4,102,152,25.000000,5.080000,3.280000,0.666977
sotad_extracted/test/4.mp4,108,158,25.000000,5.320000,3.280000,0.594402
sotad_extracted/test/4.mp4,114,164,25.000000,5.560000,3.280000,0.522150
sotad_extracted/test/4.mp4,120,170,25.000000,5.800000,3.280000,0.452123
sotad_extracted/test/4.mp4,126,176,25.000000,6.040000,3.280000,0.385891
sotad_extracted/test/4.mp4,132,182,25.000000,6.280000,3.280000,0.324652
